Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
L_8BM,Anterior_Cingulate_and_Medial_Prefrontal,Frontoparietal,-6,33,44,0.63,0.43
L_AVI,Insular_and_Frontal_Opercular,Frontoparietal,-31,25,-4,0.4,0.23
L_13l,Orbital_and_Polar_Frontal,Frontoparietal,-23,28,-21,0.26,0.19
R_p10p,Orbital_and_Polar_Frontal,Frontoparietal,23,61,1,-0.26,0.22
L_IFSa,Inferior_Frontal,Frontoparietal,-47,33,9,-0.27,0.22
L_7Pm,Superior_Parietal,Frontoparietal,-5,-68,49,-0.28,0.07
L_IP1,Inferior_Parietal,Frontoparietal,-32,-71,39,-0.28,0.1
L_POS2,Posterior_Cingulate,Frontoparietal,-9,-73,37,-0.38,0.12
L_9m,Anterior_Cingulate_and_Medial_Prefrontal,Default,-7,54,22,0.65,0.48
R_TGd,Lateral_Temporal,Default,35,14,-37,0.48,0.22
L_TGd,Lateral_Temporal,Default,-37,12,-37,0.36,0.2
L_47l,Inferior_Frontal,Default,-47,29,-12,0.31,0.22
L_PGi,Inferior_Parietal,Default,-49,-65,27,0.3,0.21
L_7m,Posterior_Cingulate,Default,-6,-62,34,0.29,0.17
L_9p,Dorsolateral_Prefrontal,Default,-19,47,38,0.27,0.15
R_6v,Premotor,Somatomotor,58,7,31,0.55,0.26
R_1,Somatosensory_and_Motor,Somatomotor,48,-22,54,-0.28,0.23
AMYGDALA_RIGHT,,subcortex,,,,0.28,0.08
L_PHA3,Medial_Temporal,Dorsal_Attention,-34,-35,-21,-0.5,0.3
R_PSL,Temporo-Parieto-Occipital_Junction,Cingulo-Opercular,64,-37,27,-0.52,0.22
