Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
R_7m,Posterior_Cingulate,Default,5,-60,33,0.22,0.18
L_23d,Posterior_Cingulate,Default,-4,-20,38,-0.19,0.25
L_PHA2,Medial_Temporal,Default,-31,-36,-14,-0.21,0.14
R_POS1,Posterior_Cingulate,Default,11,-57,15,-0.26,0.21
L_47m,Orbital_and_Polar_Frontal,Default,-37,31,-17,-0.35,0.31
L_FST,MT+_Complex_and_Neighboring_Visual_Areas,Visual2,-48,-68,5,0.36,0.21
R_PH,MT+_Complex_and_Neighboring_Visual_Areas,Visual2,49,-61,-11,0.18,0.1
L_PIT,Ventral_Stream_Visual,Visual2,-47,-77,-11,-0.26,0.19
L_PSL,Temporo-Parieto_Occipital_Junction,Language,-60,-48,25,0.18,0.1
R_45,Inferior_Frontal,Language,50,27,0,-0.22,0.19
L_45,Inferior_Frontal,Language,-52,27,2,-0.22,0.12
DIENCEPHALON_VENTRAL,,subcortex,,,,0.18,0.12
AMYGDALA_LEFT,,subcortex,,,,0.18,0.22
R_IP2,Inferior_Parietal,Frontoparietal,40,-47,45,0.23,0.14
R_p9-46v,Dorsolateral_Prefrontal,Frontoparietal,46,33,25,0.19,0.08
R_6a,Premotor,Dorsal_Attention,26,-2,53,0.21,0.29
L_AIP,Superior_Parietal,Dorsal_Attention,-40,-39,41,0.21,0.13
L_ProS,Posterior_Cingulate,Visual1,-23,-55,3,0.3,0.3
L_FOP2,Insular_and_Frontal_Opercular,Somatomotor,-44,-5,14,-0.22,0.12
R_AAIC,Insular_and_Frontal_Opercular,Orbito-Affective,35,15,-12,0.22,0.07
