,Mean Coeff,σ Coeff
lh_G_rectus,-0.6922977104296124,0.3899559874451382
rh_Pole_temporal,0.4541745880529402,0.129402689859586
lh_G_temp_sup-Plan_polar,0.44090845649607036,0.43214443267095143
rh_G_precentral,0.3764047070056706,0.28682206066646865
rh_G_and_S_occipital_inf,0.3204898156148278,0.24636372907642284
lh_G_temporal_inf,0.311129540168628,0.17624902762041786
lh_G_and_S_cingul-Mid-Post,0.27941162056608926,0.2789686104350927
lh_G_occipital_sup,0.26703681465001516,0.0799325699688373
rh_G_temp_sup-Plan_polar,0.2609102929311253,0.24209917503137543
lh_Pole_temporal,0.2526571847794263,0.16184187759068389
rh_G_cuneus,0.24114449892070236,0.3992974045087415
lh_S_oc-temp_med_and_Lingual,-0.2380815157617979,0.20883863958023144
rh_G_cingul-Post-dorsal,0.22506658208285038,0.24351870255464694
rh_G_orbital,0.2235547002625629,0.16984985674232186
lh_S_cingul-Marginalis,0.21468456136498076,0.27160355696286503
lh_S_circular_insula_sup,-0.2095818353112656,0.1776279661275966
lh_G_temp_sup-G_T_transv,-0.2060131536297593,0.18668953468148666
lh_S_front_middle,0.20052001338142117,0.15540491869183914
rh_G_and_S_cingul-Ant,-0.2003609992720532,0.21101396612381731
lh_S_central,0.1913296813452108,0.16632639627129644
rh_G_oc-temp_med-Lingual,0.18814096310394285,0.12251927691664813
rh_G_front_inf-Orbital,-0.17945372453187025,0.12052026044977646
lh_G_cuneus,0.1768845187793081,0.15657599222856086
lh_S_calcarine,0.17469305909353952,0.10532983897085858
lh_G_Ins_lg_and_S_cent_ins,0.17225504157460594,0.17588703038585052
lh_S_oc-temp_lat,0.17189072032929278,0.14547956079556518
rh_G_front_middle,-0.1695494854448836,0.20750556248293459
rh_S_temporal_inf,0.16435118873989968,0.13039871812905374
rh_S_temporal_transverse,-0.1638076482036855,0.1503677947532958
lh_G_and_S_cingul-Mid-Ant,-0.16293165447317104,0.20573351430199147
lh_S_temporal_inf,0.1628800160371514,0.12107046125130547
rh_G_rectus,-0.16060492616698102,0.16582330161026385
rh_S_central,0.1584745588095709,0.19412686007405316
rh_S_circular_insula_inf,0.1561546404391093,0.15989561056897947
rh_Lat_Fis-ant-Vertical,0.1535439173416544,0.1598758720300522
rh_G_temporal_middle,0.1503199017315176,0.14828400656884344
lh_S_precentral-inf-part,0.14291719632059438,0.17434858374797635
lh_G_precentral,0.14275818076938623,0.1273084388211958
lh_S_temporal_sup,-0.14121492280883083,0.1649655237220516
rh_G_subcallosal,0.14103700345224318,0.14725133314793207
lh_S_pericallosal,0.1409263170562151,0.26996597028197217
rh_G_temp_sup-Lateral,-0.13893032093413135,0.12445749646435743
lh_S_suborbital,-0.13817115631897084,0.13443234232051682
lh_S_circular_insula_ant,0.1373421991288222,0.1815788279465722
lh_S_subparietal,-0.13628033834463238,0.16540924648455646
lh_G_and_S_paracentral,0.13540340553443708,0.13203923031888473
rh_S_collat_transv_ant,0.13376162165698124,0.13387341912744982
lh_S_temporal_transverse,0.132205009329055,0.15291486879071672
lh_S_collat_transv_ant,0.125287509863344,0.11203265816680683
rh_G_and_S_paracentral,-0.123375087507475,0.1306348719796517
