,Network 1,Network 2,Mean Coeff,σ Coeff
R_52-L_A1,Auditory,Auditory,0.06,0.07
R_TA2-L_RI,Auditory,Auditory,0.05,0.07
R_LBelt-L_LBelt,Auditory,Auditory,0.01,0.01
R_LBelt-L_RI,Auditory,Auditory,0.0,0.0
R_TA2-L_p24pr,Auditory,Cingulo-Opercular,-0.03,0.07
L_RI-L_PFcm,Auditory,Cingulo-Opercular,-0.01,0.01
L_RI-L_PFop,Auditory,Cingulo-Opercular,-0.01,0.01
L_RI-L_PF,Auditory,Cingulo-Opercular,-0.0,0.01
R_PBelt-L_10pp,Auditory,Default,0.15,0.19
R_52-L_10v,Auditory,Default,-0.08,0.13
R_TA2-L_s32,Auditory,Default,0.03,0.07
L_A4-L_TE1m,Auditory,Default,-0.01,0.02
R_TA2-L_TGd,Auditory,Default,-0.01,0.01
R_TA2-L_47m,Auditory,Default,-0.01,0.01
R_PBelt-L_47m,Auditory,Default,-0.0,0.01
R_MBelt-L_s32,Auditory,Default,-0.0,0.01
R_TA2-R_PGi,Auditory,Default,0.0,0.0
R_PBelt-L_s32,Auditory,Default,0.0,0.0
L_RI-L_PFt,Auditory,Dorsal_Attention,-0.0,0.01
R_A4-L_13l,Auditory,Frontoparietal,-0.12,0.07
R_TA2-L_a47r,Auditory,Frontoparietal,-0.06,0.1
R_TA2-L_AVI,Auditory,Frontoparietal,-0.0,0.01
L_RI-L_A5,Auditory,Language,-0.0,0.01
R_TA2-R_TPOJ3,Auditory,Posterior_Multimodal,0.0,0.0
R_LBelt-L_7AL,Auditory,Somatomotor,0.02,0.03
R_TA2-R_VMV2,Auditory,Visual2,0.11,0.13
R_TA2-R_VMV3,Auditory,Visual2,0.03,0.03
L_TA2-PALLIDUM_RIGHT,Auditory,subcortex,0.02,0.04
R_PFcm-L_A1,Cingulo-Opercular,Auditory,0.09,0.13
R_PFop-L_RI,Cingulo-Opercular,Auditory,0.04,0.04
R_MI-L_RI,Cingulo-Opercular,Auditory,0.03,0.06
R_FOP1-L_RI,Cingulo-Opercular,Auditory,0.02,0.01
R_PFcm-L_LBelt,Cingulo-Opercular,Auditory,0.02,0.02
R_43-L_RI,Cingulo-Opercular,Auditory,0.01,0.02
R_PFcm-R_PBelt,Cingulo-Opercular,Auditory,0.01,0.01
R_PFcm-L_RI,Cingulo-Opercular,Auditory,0.01,0.01
R_PSL-L_RI,Cingulo-Opercular,Auditory,0.01,0.01
L_PFop-L_LBelt,Cingulo-Opercular,Auditory,-0.0,0.01
L_PFcm-L_LBelt,Cingulo-Opercular,Auditory,-0.0,0.0
R_FOP5-R_LBelt,Cingulo-Opercular,Auditory,-0.0,0.01
L_PF-L_LBelt,Cingulo-Opercular,Auditory,-0.0,0.0
L_a24pr-L_A4,Cingulo-Opercular,Auditory,-0.0,0.0
L_6r-L_43,Cingulo-Opercular,Cingulo-Opercular,0.11,0.14
L_33pr-L_p24,Cingulo-Opercular,Cingulo-Opercular,-0.09,0.1
L_a24pr-L_43,Cingulo-Opercular,Cingulo-Opercular,0.07,0.1
L_a24pr-L_46,Cingulo-Opercular,Cingulo-Opercular,-0.06,0.06
L_p32pr-L_FOP1,Cingulo-Opercular,Cingulo-Opercular,0.06,0.06
L_p24pr-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.05,0.06
L_a24pr-L_p24,Cingulo-Opercular,Cingulo-Opercular,-0.05,0.05
L_a24pr-L_FOP4,Cingulo-Opercular,Cingulo-Opercular,0.04,0.07
L_p24pr-L_FOP4,Cingulo-Opercular,Cingulo-Opercular,0.03,0.04
L_p32pr-L_43,Cingulo-Opercular,Cingulo-Opercular,0.03,0.03
R_PSL-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.02,0.06
R_PEF-L_PF,Cingulo-Opercular,Cingulo-Opercular,-0.02,0.03
L_a24pr-L_FOP1,Cingulo-Opercular,Cingulo-Opercular,0.02,0.03
L_PF-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,-0.02,0.03
R_PoI2-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.02,0.03
R_FOP4-L_a32pr,Cingulo-Opercular,Cingulo-Opercular,0.02,0.02
