,Mean Coeff,σ Coeff
R_6a_ROI-L_pOFC_ROI,0.19665520314606288,0.15706291909929088
L_44_ROI-L_13l_ROI,0.18561580571057387,0.1550864901271659
L_AVI_ROI-PUTAMEN_LEFT,-0.17602277350472648,0.1724259142188222
L_10pp_ROI-DIENCEPHALON_VENTRAL_RIGHT,0.17248525996779418,0.1411593938279961
L_11l_ROI-L_31a_ROI,-0.17007002448175332,0.21587252508012159
L_3a_ROI-L_s32_ROI,-0.16485585532383012,0.1454452105625429
R_7PC_ROI-L_43_ROI,0.1548797614425759,0.1566002591978845
R_PBelt_ROI-L_10pp_ROI,0.15268424424966467,0.18562051680881536
R_TE2a_ROI-L_PI_ROI,0.15052666898409514,0.1341335052815021
R_a10p_ROI-L_10pp_ROI,0.15028378791057087,0.17051261915870056
R_TPOJ1_ROI-L_10pp_ROI,0.13828065523303745,0.13449908370798713
L_PCV_ROI-PALLIDUM_LEFT,-0.13685982654498807,0.13399869000572417
R_13l_ROI-L_5mv_ROI,-0.12747209724738992,0.1624770180732865
L_a10p_ROI-L_13l_ROI,0.1272211989460507,0.1351908650654825
L_23d_ROI-L_11l_ROI,-0.1178393075051351,0.16400170104394096
R_13l_ROI-R_s32_ROI,0.11768230208544564,0.15680644294890736
R_STSvp_ROI-R_TPOJ3_ROI,0.1171518188432035,0.12118523514074549
L_a10p_ROI-L_Pir_ROI,-0.11571504655162433,0.12149626697122268
L_31pv_ROI-L_PGi_ROI,0.1155794852289993,0.09527804357119404
R_TE2a_ROI-R_TE1m_ROI,-0.11513418171731385,0.26388507928819416
