Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
L_7Pm,Superior_Parietal,Frontoparietal,-5,-68,49,0.44,0.24
R_7Pm,Superior_Parietal,Frontoparietal,5,-67,50,0.44,0.15
R_IP2,Inferior_Parietal,Frontoparietal,40,-47,45,0.34,0.11
R_AVI,Insular_and_Frontal_Opercular,Frontoparietal,32,25,-4,0.3,0.19
R_d32,Anterior_Cingulate_and_Medial_Prefrontal,Frontoparietal,6,39,27,0.28,0.22
R_LIPd,Superior_Parietal,Dorsal_Attention,30,-55,44,0.31,0.16
L_MIP,Superior_Parietal,Dorsal_Attention,-26,-67,47,0.29,0.1
R_7PL,Superior_Parietal,Dorsal_Attention,12,-73,58,0.29,0.24
L_7PL,Superior_Parietal,Dorsal_Attention,-15,-74,56,0.29,0.14
R_EC,Medial_Temporal,Default,20,-11,-27,0.33,0.16
L_PGs,Inferior_Parietal,Default,-42,-77,38,-0.28,0.22
L_31pv,Posterior_Cingulate,Default,-10,-44,33,-0.28,0.29
R_8BL,Dorsolateral_Prefrontal,Default,11,43,48,-0.44,0.19
L_FOP3,Insular_and_Frontal_Opercular,Cingulo-Opercular,-36,3,12,-0.29,0.23
R_IFSa,Inferior_Frontal,Cingulo-Opercular,48,39,2,-0.31,0.13
R_PFop,Inferior_Parietal,Cingulo-Opercular,62,-20,23,-0.5,0.16
L_PCV,Posterior_Cingulate,Posterior_Multimodal,-6,-50,48,0.48,0.14
R_PCV,Posterior_Cingulate,Posterior_Multimodal,5,-52,50,0.4,0.19
L_PIT,Ventral_Stream_Visual,Visual2,-47,-77,-11,-0.29,0.21
L_6mp,Paracentral_Lobular_and_Mid_Cingulate,Somatomotor,-10,-15,69,-0.3,0.24
